epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3851.05,0.51801,0.41738,1.0544,0.85761,0.73568,0.82869,0.63429,0.93407,0.83631,1.59296,0.004192,0.004192,0.004192
90,3894.21,0.51197,0.40733,1.04876,0.83506,0.75261,0.82449,0.63533,0.91973,0.84745,1.58435,0.004126,0.004126,0.004126
91,3937.45,0.51447,0.40561,1.04765,0.8167,0.78191,0.82847,0.63827,0.94764,0.83411,1.62377,0.00406,0.00406,0.00406
92,3980.66,0.50367,0.39736,1.04538,0.80764,0.7928,0.82497,0.63911,0.92912,0.83326,1.59795,0.003994,0.003994,0.003994
93,4023.86,0.50188,0.39144,1.03838,0.83315,0.76991,0.82432,0.63782,0.92664,0.83834,1.59837,0.003928,0.003928,0.003928
94,4066.97,0.49989,0.39408,1.04219,0.81814,0.75354,0.81211,0.63336,0.92077,0.87604,1.58866,0.003862,0.003862,0.003862
95,4110.14,0.48885,0.3933,1.03777,0.81001,0.73983,0.80268,0.62214,0.94077,0.88654,1.6091,0.003796,0.003796,0.003796
96,4153.4,0.49746,0.395,1.04122,0.81018,0.75787,0.81602,0.63412,0.93307,0.90962,1.61024,0.00373,0.00373,0.00373
97,4196.68,0.49417,0.38724,1.04333,0.79835,0.77985,0.81788,0.63518,0.93562,0.90378,1.6132,0.003664,0.003664,0.003664
98,4239.89,0.48694,0.38086,1.03394,0.78836,0.76838,0.81044,0.63012,0.93017,0.91643,1.59768,0.003598,0.003598,0.003598
99,4283.21,0.48991,0.38427,1.0377,0.82096,0.75272,0.80943,0.62569,0.93373,0.90814,1.5993,0.003532,0.003532,0.003532
100,4326.42,0.48172,0.37964,1.02906,0.84753,0.74323,0.81453,0.63261,0.90795,0.89928,1.57813,0.003466,0.003466,0.003466
101,4369.72,0.48565,0.37774,1.03339,0.84501,0.7501,0.81772,0.63029,0.91427,0.90418,1.58633,0.0034,0.0034,0.0034
102,4412.9,0.47462,0.37373,1.02506,0.79102,0.79786,0.81502,0.62807,0.92145,0.91399,1.60416,0.003334,0.003334,0.003334
103,4456.14,0.48169,0.37259,1.03039,0.79423,0.79582,0.82022,0.6269,0.92581,0.89606,1.61433,0.003268,0.003268,0.003268
104,4499.37,0.4628,0.36277,1.02109,0.84027,0.75339,0.80788,0.62297,0.92192,0.8974,1.6054,0.003202,0.003202,0.003202
105,4542.47,0.47426,0.36889,1.02708,0.81769,0.77055,0.81854,0.63062,0.9198,0.88635,1.60023,0.003136,0.003136,0.003136
